x,y,sum,,a,b,h,k
0,0,0,,5,10,5,0
1,6,6,,,,,
2,8,14,,,,,
3,9.16515139,23.16515139,,,,,
4,9.797958971,32.96311036,,,,,
5,10,42.96311036,,,,,
6,9.797958971,52.76106933,,,,,
7,9.16515139,61.92622072,,,,,
8,8,69.92622072,,,,,
9,6,75.92622072,,,,,
10,5,80.92622072,,,,,
11,4,84.92622072,,,,,
12,3,87.92622072,,,,,
13,2,89.92622072,,,,,
14,1,90.92622072,,,,,
15,1,91.92622072,,,,,
16,1,92.92622072,,,,,
17,1,93.92622072,,,,,
18,1,94.92622072,,,,,
19,1,95.92622072,,,,,
20,1,96.92622072,0,,,,
21,1,97.92622072,,,,,
22,1,98.92622072,,,,,
23,1,99.92622072,,,,,
24,1,100.9262207,,,,,
25,1,101.9262207,,,,,
26,1,102.9262207,,,,,
27,1,103.9262207,,,,,
28,1,104.9262207,,,,,
29,1,105.9262207,,,,,
30,1,106.9262207,,,,,
31,1,107.9262207,,,,,
32,1,108.9262207,,,,,
33,1,109.9262207,,,,,
34,1,110.9262207,,,,,
35,1,111.9262207,,,,,
36,1,112.9262207,,,,,
37,1,113.9262207,,,,,
38,1,114.9262207,,,,,
39,1,115.9262207,,,,,
40,1,116.9262207,,,,,
41,1,117.9262207,,,,,
42,1,118.9262207,,,,,
