,Unnamed: 0,player,age,days/week,run_type,km/day,shoes_type,place,mileage,wear_rate_tolerate,hurt_rate
0,0,1,47,6,C,17,Basketball,Forest,354,0.86,0.47
1,1,2,78,6,C,18,Basketball,playground,431,0.58,0.83
2,2,3,71,7,E,42,Basketball,Forest,349,0.3,0.98
3,3,4,66,6,D,26,Basketball,park,723,0.92,0.96
4,4,5,47,0,A,0,Basketball,playground,371,0.0,0.0
5,5,6,78,7,E,42,Running,street,761,0.83,0.99
6,6,7,55,6,D,27,Basketball,grassland,316,0.76,0.69
7,7,8,67,5,C,17,Running,grassland,282,0.45,0.82
8,8,9,41,0,A,0,Running,grassland,235,0.0,0.0
9,9,10,22,2,C,15,Badminton,street,401,0.66,0.08
10,10,11,63,4,B,4,Running,Forest,317,0.11,0.95
11,11,12,75,3,D,22,Badminton,Forest,159,0.73,0.96
12,12,13,57,0,A,0,Running,park,530,0.0,0.0
13,13,14,56,1,D,21,Badminton,grassland,114,0.15,0.61
14,14,15,77,0,A,0,Badminton,playground,281,0.0,0.0
15,15,16,60,0,A,0,Basketball,street,644,0.0,0.0
16,16,17,33,1,B,1,Badminton,playground,272,0.17,0.35
17,17,18,43,0,A,0,Badminton,grassland,145,0.0,0.0
18,18,19,77,2,B,6,Running,grassland,289,0.56,0.81
19,19,20,51,7,E,42,Basketball,Forest,256,0.21,0.63
20,20,21,66,0,A,0,Running,Forest,381,0.0,0.0
21,21,22,19,6,D,22,Badminton,grassland,129,0.53,0.1
22,22,23,77,0,A,0,Badminton,park,466,0.0,0.0
23,23,24,76,7,E,42,Running,park,514,0.95,0.94
24,24,25,77,2,B,3,Running,street,724,0.81,0.83
25,25,26,66,0,A,0,Basketball,Forest,364,0.0,0.0
26,26,27,41,2,B,6,Badminton,park,470,0.79,0.47
27,27,28,77,2,B,2,Basketball,street,503,0.65,0.84
28,28,29,37,0,A,0,Running,grassland,364,0.0,0.0
29,29,30,21,3,B,5,Badminton,playground,239,0.76,0.17
30,30,31,18,2,B,1,Running,grassland,302,0.91,0.11
31,31,32,78,5,C,19,Badminton,grassland,160,0.64,0.87
32,32,33,69,0,A,0,Running,street,504,0.0,0.0
33,33,34,57,6,B,4,Badminton,grassland,150,0.63,0.8
34,34,35,26,3,D,24,Basketball,Forest,206,0.87,0.18
35,35,36,59,3,C,18,Badminton,Forest,126,0.79,0.66
36,36,37,38,0,A,0,Basketball,grassland,391,0.0,0.0
37,37,38,33,5,C,19,Badminton,playground,329,0.79,0.22
38,38,39,38,1,C,18,Basketball,street,750,0.48,0.31
39,39,40,49,3,D,28,Basketball,grassland,221,0.7,0.41
40,40,41,54,7,E,42,Basketball,playground,348,0.36,0.69
41,41,42,51,7,E,42,Running,grassland,397,0.78,0.74
42,42,43,36,7,E,42,Running,grassland,314,0.28,0.36
43,43,44,28,2,C,14,Running,playground,472,0.69,0.16
44,44,45,66,6,B,9,Badminton,Forest,181,0.71,0.91
45,45,46,58,3,D,23,Badminton,grassland,135,0.67,0.63
46,46,47,35,0,A,0,Running,playground,448,0.0,0.0
47,47,48,77,0,A,0,Running,playground,490,0.0,0.0
48,48,49,45,5,C,12,Running,Forest,268,0.27,0.5
49,49,50,27,2,B,7,Basketball,Forest,391,0.98,0.07
50,50,51,47,6,C,14,Basketball,playground,378,0.91,0.55
51,51,52,32,2,D,28,Badminton,Forest,122,0.21,0.36
52,52,53,26,5,D,23,Running,street,658,0.87,0.03
53,53,54,46,7,E,42,Badminton,street,471,0.91,0.6
54,54,55,39,0,A,0,Basketball,Forest,216,0.0,0.0
55,55,56,51,2,D,21,Basketball,Forest,328,0.64,0.61
56,56,57,16,0,A,0,Badminton,street,364,0.0,0.0
57,57,58,61,7,E,42,Basketball,street,525,0.4,0.94
58,58,59,58,6,B,9,Basketball,Forest,268,0.5,0.71
59,59,60,45,0,A,0,Badminton,grassland,151,0.0,0.0
60,60,61,79,2,D,27,Badminton,playground,315,0.61,0.98
61,61,62,23,1,B,8,Badminton,Forest,165,0.36,0.15
62,62,63,68,1,D,23,Basketball,Forest,357,0.59,0.9
63,63,64,48,5,B,3,Badminton,Forest,125,0.6,0.49
64,64,65,68,7,E,42,Basketball,grassland,215,0.66,0.97
65,65,66,19,2,C,13,Basketball,grassland,237,0.69,0.01
66,66,67,33,7,E,42,Basketball,Forest,273,0.49,0.36
67,67,68,74,7,E,42,Badminton,park,404,0.62,0.9
68,68,69,36,7,E,42,Basketball,grassland,344,0.31,0.31
69,69,70,74,7,E,42,Running,street,565,0.82,0.8
70,70,71,18,5,B,7,Running,street,760,0.69,0.13
71,71,72,56,3,D,24,Badminton,grassland,192,0.65,0.73
72,72,73,68,4,B,3,Running,street,732,0.68,0.99
73,73,74,70,6,B,4,Running,Forest,242,0.29,0.93
74,74,75,33,7,E,42,Basketball,grassland,267,0.81,0.22
75,75,76,19,6,D,29,Basketball,Forest,279,0.74,0.1
76,76,77,18,1,B,4,Basketball,street,748,0.49,0.11
77,77,78,38,7,E,42,Badminton,playground,370,0.81,0.38
78,78,79,38,7,E,42,Badminton,playground,281,0.81,0.29
79,79,80,76,2,D,25,Running,playground,403,0.88,0.96
80,80,81,19,7,E,42,Badminton,park,329,0.7,0.06
81,81,82,44,7,E,42,Badminton,grassland,106,0.93,0.44
82,82,83,52,7,E,42,Basketball,grassland,214,0.95,0.73
83,83,84,30,5,C,19,Basketball,park,627,0.74,0.1
84,84,85,37,7,E,42,Running,grassland,342,0.85,0.26
85,85,86,25,7,E,42,Running,Forest,330,0.64,0.02
86,86,87,69,6,D,21,Badminton,Forest,137,0.75,0.88
87,87,88,20,1,B,3,Badminton,grassland,103,0.26,0.18
88,88,89,39,5,C,14,Badminton,Forest,131,0.57,0.37
89,89,90,30,5,C,15,Running,street,592,0.15,0.0
90,90,91,36,5,B,6,Badminton,Forest,109,0.12,0.24
91,91,92,38,6,B,9,Basketball,playground,389,0.92,0.31
92,92,93,35,1,B,5,Badminton,park,406,0.7,0.35
93,93,94,53,3,C,14,Running,grassland,343,0.76,0.79
94,94,95,47,0,A,0,Basketball,street,600,0.0,0.0
95,95,96,73,1,D,28,Badminton,grassland,164,0.43,1.0
96,96,97,40,3,C,17,Basketball,playground,387,0.97,0.26
97,97,98,54,6,B,1,Basketball,street,573,0.97,0.75
98,98,99,68,3,B,6,Basketball,street,786,0.8,1.0
99,99,100,35,2,C,17,Running,street,707,0.64,0.3
100,100,101,62,3,D,29,Running,playground,385,0.34,0.98
101,101,102,62,4,D,26,Running,street,589,0.43,0.95
102,102,103,18,0,A,0,Badminton,street,412,0.0,0.0
103,103,104,51,3,D,27,Basketball,Forest,393,0.84,0.69
104,104,105,24,0,A,0,Basketball,grassland,201,0.0,0.0
105,105,106,50,3,B,3,Basketball,playground,444,0.38,0.41
106,106,107,56,2,B,5,Running,street,789,0.94,0.8
107,107,108,37,6,D,29,Running,playground,494,0.66,0.26
108,108,109,28,0,A,0,Badminton,street,457,0.0,0.0
109,109,110,67,6,D,28,Basketball,street,773,0.11,0.93
110,110,111,40,7,E,42,Running,playground,300,0.95,0.26
111,111,112,45,2,C,17,Running,street,580,0.63,0.53
112,112,113,57,7,E,42,Basketball,playground,369,0.5,0.73
113,113,114,38,7,E,42,Running,Forest,321,0.52,0.37
114,114,115,29,6,D,24,Badminton,grassland,126,0.8,0.0
115,115,116,34,7,E,42,Badminton,park,462,0.92,0.23
116,116,117,69,7,E,42,Badminton,street,308,0.85,0.88
117,117,118,61,3,C,19,Basketball,playground,446,0.26,0.93
118,118,119,69,0,A,0,Basketball,park,651,0.0,0.0
119,119,120,76,2,C,12,Running,street,557,0.31,0.93
120,120,121,50,0,A,0,Running,street,664,0.0,0.0
121,121,122,30,7,E,42,Basketball,street,698,0.67,0.04
