,Unnamed: 0,player,age,days/week,run_type,km/day,shoes_type,place,mileage,wear_rate_tolerate,hurt_rate
0,0,1,22,0,A,0,Badminton,street,455,0.0,0.0
1,1,2,65,2,B,7,Badminton,grassland,163,0.59,0.95
2,2,3,66,0,A,0,Basketball,street,626,0.0,0.0
3,3,4,35,7,E,42,Basketball,grassland,330,0.91,0.35
4,4,5,64,0,A,0,Basketball,playground,406,0.0,0.0
5,5,6,53,3,B,8,Badminton,park,400,0.51,0.65
6,6,7,27,6,D,24,Badminton,street,459,0.87,0.14
7,7,8,48,5,B,3,Running,Forest,305,0.57,0.5
8,8,9,72,0,A,0,Running,park,597,0.0,0.0
9,9,10,47,0,A,0,Basketball,street,550,0.0,0.0
10,10,11,49,5,C,15,Running,park,780,0.32,0.56
11,11,12,67,1,D,23,Basketball,Forest,221,0.22,0.98
12,12,13,64,2,C,19,Basketball,street,750,0.1,0.86
13,13,14,38,5,B,9,Badminton,park,432,0.69,0.26
14,14,15,36,1,D,24,Running,playground,490,0.26,0.32
15,15,16,63,0,A,0,Basketball,street,664,0.0,0.0
16,16,17,38,0,A,0,Basketball,park,665,0.0,0.0
17,17,18,70,0,A,0,Basketball,grassland,376,0.0,0.0
18,18,19,40,2,D,22,Basketball,park,588,0.43,0.27
19,19,20,44,1,C,11,Basketball,Forest,352,0.2,0.58
20,20,21,78,0,A,0,Badminton,playground,350,0.0,0.0
21,21,22,72,1,D,28,Running,playground,338,0.42,0.92
22,22,23,65,1,D,23,Running,grassland,282,0.21,0.92
23,23,24,15,6,D,28,Running,park,628,0.64,0.08
24,24,25,45,5,C,12,Badminton,playground,307,0.96,0.59
25,25,26,27,1,B,8,Basketball,grassland,212,0.1,0.15
26,26,27,69,4,B,3,Basketball,street,643,0.83,1.0
27,27,28,42,1,C,13,Running,park,789,0.91,0.47
28,28,29,47,2,B,3,Badminton,street,428,0.28,0.54
29,29,30,53,4,D,29,Basketball,park,746,0.88,0.62
30,30,31,49,0,A,0,Basketball,park,762,0.0,0.0
31,31,32,38,0,A,0,Basketball,playground,438,0.0,0.0
32,32,33,25,0,A,0,Running,grassland,353,0.0,0.0
33,33,34,64,2,C,17,Running,street,756,0.79,0.9
34,34,35,58,1,C,11,Running,grassland,329,0.11,0.65
35,35,36,37,5,B,1,Badminton,park,399,0.65,0.22
36,36,37,78,6,D,28,Badminton,park,492,0.53,0.81
37,37,38,24,3,C,11,Basketball,street,611,0.7,0.14
38,38,39,62,2,D,25,Badminton,playground,327,0.33,0.97
39,39,40,32,7,E,42,Running,street,675,0.6,0.33
40,40,41,22,0,A,0,Running,street,585,0.0,0.0
41,41,42,77,7,E,42,Running,street,516,0.25,0.97
42,42,43,23,5,C,18,Basketball,grassland,386,0.19,0.17
43,43,44,74,6,D,27,Basketball,park,570,0.81,0.97
44,44,45,21,0,A,0,Running,grassland,223,0.0,0.0
45,45,46,41,0,A,0,Badminton,street,476,0.0,0.0
46,46,47,76,0,A,0,Running,street,699,0.0,0.0
47,47,48,64,0,A,0,Running,grassland,315,0.0,0.0
48,48,49,40,0,A,0,Basketball,park,757,0.0,0.0
49,49,50,74,1,D,27,Badminton,grassland,117,0.37,0.91
50,50,51,69,0,A,0,Running,park,790,0.0,0.0
51,51,52,33,0,A,0,Running,street,549,0.0,0.0
52,52,53,37,3,B,8,Basketball,playground,419,0.6,0.34
53,53,54,15,1,C,15,Basketball,Forest,387,0.63,0.1
54,54,55,33,5,B,3,Running,playground,348,0.1,0.33
55,55,56,26,6,D,22,Running,grassland,225,0.29,0.11
