,Unnamed: 0,player,age,days/week,run_type,km/day,shoes_type,place,mileage,wear_rate_tolerate,hurt_rate
0,0,1,36,6,B,8,Running,street,694,0.12,0.39
1,1,2,18,7,E,42,Basketball,park,501,0.79,0.09
2,2,3,58,0,A,0,Badminton,playground,363,0.0,0.0
3,3,4,59,0,A,0,Badminton,park,479,0.0,0.0
4,4,5,48,7,E,42,Badminton,Forest,175,0.79,0.54
5,5,6,61,0,A,0,Basketball,grassland,211,0.0,0.0
6,6,7,71,7,E,42,Basketball,park,503,0.61,0.93
7,7,8,31,7,E,42,Basketball,grassland,255,0.57,0.35
8,8,9,43,7,E,42,Basketball,park,793,0.42,0.43
9,9,10,73,0,A,0,Badminton,Forest,136,0.0,0.0
10,10,11,69,7,E,42,Basketball,park,574,0.58,0.91
11,11,12,73,0,A,0,Running,street,589,0.0,0.0
12,12,13,78,5,D,25,Badminton,grassland,121,0.94,0.94
13,13,14,44,1,D,25,Badminton,grassland,163,0.85,0.51
14,14,15,24,2,B,2,Running,park,602,0.82,0.0
15,15,16,32,0,A,0,Badminton,street,491,0.0,0.0
16,16,17,28,5,C,12,Badminton,street,342,0.49,0.13
17,17,18,23,3,B,9,Badminton,grassland,177,0.13,0.01
18,18,19,73,7,E,42,Basketball,playground,324,0.48,0.95
19,19,20,32,4,C,17,Running,street,724,0.81,0.27
20,20,21,76,3,B,6,Basketball,street,564,0.24,0.83
21,21,22,16,0,A,0,Badminton,street,359,0.0,0.0
22,22,23,19,2,D,22,Basketball,playground,365,0.79,0.03
23,23,24,76,3,C,13,Running,playground,355,0.23,0.82
24,24,25,57,6,C,19,Badminton,Forest,168,0.81,0.63
25,25,26,61,0,A,0,Running,street,612,0.0,0.0
26,26,27,38,4,B,9,Basketball,playground,336,0.21,0.38
27,27,28,76,6,C,18,Running,street,609,0.66,0.84
28,28,29,55,7,E,42,Badminton,grassland,179,0.34,0.62
29,29,30,58,7,E,42,Running,playground,421,0.53,0.77
30,30,31,54,4,B,3,Running,Forest,319,0.17,0.74
31,31,32,32,5,C,13,Running,street,543,0.98,0.38
32,32,33,47,7,E,42,Basketball,grassland,223,0.73,0.56
33,33,34,70,7,E,42,Running,Forest,281,0.2,0.99
34,34,35,76,2,B,1,Badminton,street,407,0.29,0.84
35,35,36,52,7,E,42,Basketball,Forest,381,0.28,0.74
36,36,37,23,2,B,3,Basketball,playground,342,0.79,0.08
37,37,38,65,7,E,42,Badminton,street,362,0.53,0.9
38,38,39,75,7,E,42,Basketball,playground,383,0.91,0.86
39,39,40,32,3,B,9,Running,street,566,0.25,0.35
40,40,41,77,4,C,16,Basketball,playground,449,0.48,0.97
41,41,42,31,7,E,42,Basketball,Forest,322,0.44,0.27
42,42,43,41,5,D,28,Basketball,street,507,0.6,0.54
43,43,44,40,3,D,28,Basketball,playground,382,0.53,0.32
44,44,45,46,7,E,42,Badminton,playground,223,0.77,0.4
45,45,46,38,7,E,42,Basketball,Forest,244,0.88,0.35
46,46,47,52,3,C,14,Badminton,grassland,189,0.56,0.76
47,47,48,43,0,A,0,Basketball,park,731,0.0,0.0
48,48,49,36,1,B,6,Badminton,Forest,175,0.89,0.32
