,Unnamed: 0,player,age,days/week,run_type,km/day,shoes_type,place,mileage,wear_rate_tolerate,hurt_rate
0,0,1,24,7,E,42,Basketball,grassland,234,0.65,0.02
1,1,2,41,7,E,42,Badminton,Forest,134,0.28,0.54
2,2,3,32,2,C,14,Badminton,grassland,138,0.93,0.32
3,3,4,36,0,A,0,Basketball,Forest,201,0.0,0.0
4,4,5,62,1,B,9,Badminton,park,335,0.16,0.95
5,5,6,18,4,D,28,Basketball,playground,383,0.18,0.01
6,6,7,29,0,A,0,Badminton,grassland,145,0.0,0.0
7,7,8,29,6,D,29,Basketball,street,572,0.91,0.19
8,8,9,48,7,E,42,Running,playground,465,0.46,0.53
9,9,10,30,2,D,22,Running,street,680,0.45,0.17
10,10,11,47,5,D,27,Running,street,668,0.41,0.44
11,11,12,34,7,E,42,Running,playground,390,0.67,0.21
12,12,13,48,7,E,42,Basketball,playground,300,0.22,0.55
13,13,14,51,7,E,42,Badminton,grassland,103,0.84,0.65
14,14,15,28,1,D,21,Badminton,grassland,191,0.17,0.0
15,15,16,32,3,D,22,Badminton,grassland,120,0.34,0.24
16,16,17,31,6,C,18,Basketball,grassland,302,0.58,0.35
17,17,18,72,7,E,42,Badminton,park,482,0.55,0.93
18,18,19,79,1,C,11,Basketball,grassland,290,0.74,0.99
19,19,20,20,7,E,42,Running,grassland,316,0.61,0.08
20,20,21,60,7,E,42,Running,street,524,0.39,0.69
21,21,22,39,7,E,42,Badminton,Forest,197,0.23,0.37
22,22,23,42,3,D,24,Badminton,Forest,133,0.19,0.6
23,23,24,16,2,B,9,Badminton,park,365,0.52,0.19
24,24,25,19,7,E,42,Running,grassland,288,0.33,0.15
25,25,26,55,3,B,7,Running,street,722,0.65,0.74
26,26,27,21,2,C,19,Basketball,park,713,0.29,0.16
27,27,28,74,3,B,9,Basketball,park,734,0.29,0.91
28,28,29,45,7,E,42,Badminton,grassland,115,0.88,0.56
29,29,30,71,4,B,7,Basketball,street,723,0.13,0.8
30,30,31,27,7,E,42,Badminton,park,350,0.71,0.12
31,31,32,35,0,A,0,Badminton,playground,203,0.0,0.0
32,32,33,67,7,E,42,Badminton,grassland,155,0.78,0.99
33,33,34,70,7,E,42,Basketball,playground,484,0.18,0.94
34,34,35,74,6,D,28,Basketball,grassland,374,0.68,0.96
35,35,36,56,7,E,42,Running,playground,323,0.34,0.74
36,36,37,73,7,E,42,Badminton,playground,222,0.66,0.99
37,37,38,61,1,C,16,Basketball,park,519,0.19,0.84
38,38,39,23,7,E,42,Badminton,park,437,0.46,0.09
39,39,40,41,7,E,42,Basketball,Forest,230,0.4,0.48
40,40,41,61,7,E,42,Basketball,Forest,349,0.57,0.93
41,41,42,57,1,D,22,Badminton,street,303,0.77,0.71
